Node_index  Patrent_index  cost
0             0              0
1             0              0
2             0              0
3             0              0
4             0              0
5             1              0
6             1              0
7             2              0
8             2              0
9             3              0
10             3              0
11             4              0
12             4              0
13             5              0
14             6              0
15             7              0
16             8              0
17             9              0
18             10              0
19             11              0
20             12              0
21             13              0
22             13              0
23             14              0
24             14              0
25             15              0
26             15              0
27             16              0
28             16              0
29             17              0
30             17              0
31             18              0
32             18              0
33             19              0
34             19              0
35             20              0
36             20              0
37             21              0
38             22              0
39             22              0
40             22              0
41             23              0
42             23              0
43             23              0
44             24              0
45             25              0
46             25              0
47             25              0
48             26              0
49             27              0
50             27              0
51             27              0
52             28              0
53             29              0
54             30              0
55             30              0
56             30              0
57             31              0
58             32              0
59             32              0
60             32              0
61             33              0
62             34              0
63             34              0
64             34              0
65             35              0
66             35              0
67             35              0
68             36              0
69             37              0
70             37              0
71             38              0
72             38              0
73             39              0
74             39              0
75             40              0
76             40              0
77             41              0
78             41              0
79             42              0
80             42              0
81             43              0
82             43              0
83             44              0
84             44              0
85             45              0
86             46              0
87             46              0
88             47              0
89             47              0
90             48              0
91             48              0
92             49              0
93             49              0
94             50              0
95             50              0
96             51              0
97             51              0
98             52              0
99             52              0
100             53              0
101             53              0
102             54              0
103             54              0
104             55              0
105             56              0
106             56              0
107             57              0
108             57              0
109             58              0
110             58              0
111             59              0
112             59              0
113             60              0
114             60              0
115             61              0
116             61              0
117             62              0
118             62              0
119             63              0
120             63              0
121             64              0
122             65              0
123             65              0
124             66              0
125             66              0
126             67              0
127             68              0
128             68              0
129             69              0
130             69              0
131             69              0
132             70              0
133             72              0
134             73              0
135             74              0
136             75              0
137             76              0
138             77              0
139             79              0
140             80              0
141             81              0
142             82              0
143             83              0
144             83              0
145             83              0
146             84              0
147             85              0
148             86              0
149             87              0
150             88              0
151             89              0
152             90              0
153             90              0
154             90              0
155             91              0
156             92              0
157             93              0
158             94              0
159             96              0
160             97              0
161             98              0
162             99              0
163             99              0
164             99              0
165             100              0
166             100              0
167             100              0
168             101              0
169             102              0
170             103              0
171             104              0
172             105              0
173             106              0
174             107              0
175             108              0
176             108              0
177             108              0
178             109              0
179             110              0
180             111              0
181             112              0
182             113              0
183             115              0
184             116              0
185             116              0
186             116              0
187             117              0
188             118              0
189             119              0
190             120              0
191             121              0
192             122              0
193             123              0
194             124              0
195             125              0
196             126              0
197             127              0
198             128              0
199             128              0
200             128              0
201             129              0
202             129              0
203             130              0
204             130              0
205             131              0
206             131              0
207             132              0
